Temple,CCOGPL,bl,Pantheon,{7},,,,1,1,1,2,2
Statue,TCC,bl,Gardens,{5},,,,1,2,2,2,2
,GOSS,bl,Town Hall,{6},,,,1,1,2,3,3
,GPLCTOS,bl,Palace,{8},,,,1,1,1,1,2
Library,OSTT,bl,Senate,{6},,,,1,1,2,2,2
Forum,LOT,y,Haven,(1){1}/*,,,,1,2,2,2,2
Caravansery,GS,y,Lighthouse,(1){1}/*,,,,1,1,1,2,2
,CCP,y,Chamber of Commerce,(2){2}/*,,,,0,1,1,2,2
Dispensary,OSS,y,Arena,(3){1} /^\,,,,1,1,2,2,3
Walls,SOOO,r,Fortifications,XXX,,,,1,1,1,1,2
Training Ground,SSSO,r,Circus,XXX,,,,0,1,2,3,3
,OTTL,r,Arsenal,XXX,,,,1,2,2,2,3
Laboratory,TCCCC,r,Siege Workshop,XXX,,,,1,1,2,2,2
Dispensary,CCLP,gr,Lodge,&,,,,1,1,1,2,2
Laboratory,OOGL,gr,Observatory,@,,,,1,1,1,1,2
Library,TTPG,gr,University,#,,,,1,2,2,2,2
School,SSSG,gr,Academy,&,,,,1,1,1,1,2
School,TPL,gr,Study,@,,,,1,1,2,2,2
,OOCST,p,Workers Guild,<> 1 br,,,,,,,,
,OOSS,p,Craftsmens Guild,<> 2 gy,,,,,,,,
,LPG,p,Traders Guild,<> 1 y,,,,,,,,
,CCCLP,p,Philosophers Guild,<> 1 g,,,,,,,,
,CCCG,p,Spies Guild,<> 1 r,,,,,,,,
,OOSL,p,Strategists Guild,<> 1 -1,,,,,,,,
,TTTPG,p,Shipowners Guild,"V 1 br,gy,bl",,,,,,,,
,TTOOP,p,Scientists Guild,&/@/#,,,,,,,,
,TTTSL,p,Magistrates Guild,<> 1 bl,,,,,,,,
,SSCCG,p,Builders Guild,<V> 1 w,,,,,,,,
